Date,Open,High,Low,Close,Volume
2022-01-01,1497.7906179582892,1504.2713068737303,1497.183712960312,1500.0,491229
2022-01-02,1498.2418461303207,1501.8454081056698,1494.7352228455163,1501.1218897733927,921464
2022-01-03,1503.742178959235,1506.3752348184419,1498.860078851892,1502.0295567313585,641639
2022-01-04,1504.3485090608751,1507.3423722163802,1502.2109498177326,1504.4886648704617,697601
2022-01-05,1505.6978029453553,1510.9388995681236,1502.1502567760106,1507.0099733425654,732843
2022-01-06,1509.4717700776648,1511.4054197960936,1507.5331010296284,1509.0740444121236,891165
2022-01-07,1515.2872485342264,1516.5542605753155,1509.2618046064235,1511.084328495312,880423
2022-01-08,1509.1084482675922,1516.3571674927305,1508.2349512757546,1513.7985832530994,917769
2022-01-09,1515.846432577877,1516.7423063507267,1515.6914927455293,1516.1963769226818,218541
2022-01-10,1520.7859020592034,1521.2279236893423,1513.650877894257,1517.1491395630349,344972
2022-01-11,1518.5546047099338,1521.8562771764364,1513.9786518051992,1518.024562853392,373467
2022-01-12,1517.2078122372443,1523.2751251463424,1512.367116344171,1519.6137612812518,509220
2022-01-13,1519.999509611465,1521.326282667223,1515.5069919021362,1521.076942662877,632973
2022-01-14,1519.7719431287078,1527.636968076648,1516.184420599175,1523.0162173373963,951396
2022-01-15,1525.470313460657,1528.6241172156733,1520.1085637325814,1523.8814440735378,264242
2022-01-16,1527.2700052306132,1530.3141508136328,1523.5351181704664,1526.0979266203005,658002
2022-01-17,1525.575182250935,1529.2105272164165,1523.7879931694583,1527.7699366329537,259306
2022-01-18,1524.9946372592735,1532.8339151331293,1522.9232056851824,1529.6949345021185,560751
2022-01-19,1527.7096482479328,1536.1703978846012,1523.4051984259884,1531.8091870391306,296506
2022-01-20,1530.6664778677489,1539.0475746450672,1530.174938790562,1534.1175386493464,911528
2022-01-21,1540.4487423866374,1542.4828955311184,1533.92397821749,1536.3192155492954,570756
2022-01-22,1533.7754442703422,1540.1853362964223,1528.9779544575745,1537.2715083978048,240827
2022-01-23,1539.453733764249,1541.3058308006807,1534.7540302357736,1538.066904606546,873425
2022-01-24,1537.9471364307776,1540.3549364364305,1537.920197808819,1539.1737405953818,223387
2022-01-25,1543.6014682185491,1543.9541949931438,1538.9027659010467,1539.6941991356853,408765
2022-01-26,1539.5948441337648,1543.6221383909622,1537.6082286243463,1541.0943703799635,894571
2022-01-27,1544.0320783034078,1544.7026058667636,1538.948758505333,1541.9594747432288,249093
2022-01-28,1542.5105961390336,1547.6478241438494,1542.230367870353,1543.8162823858072,591510
2022-01-29,1542.0008756776922,1547.2078370976897,1537.2949102004623,1546.4590409801772,353063
2022-01-30,1549.3581114052663,1550.44297329398,1546.2642932018973,1547.4595713916394,161299
2022-01-31,1543.7428832610763,1551.5621597959835,1540.3689037839283,1548.2961550383925,437479
2022-02-01,1547.6751490277763,1553.1436769209138,1543.1389398517022,1549.3301389400142,225647
2022-02-02,1556.5292270385653,1559.008254362763,1549.5406263034854,1552.2630280746216,126412
2022-02-03,1555.041626892155,1558.4798447894925,1551.7665278186334,1554.9088525419277,617131
2022-02-04,1558.5197844465365,1559.2419026985801,1553.915202987799,1556.7433158467018,695962
2022-02-05,1553.5779484512277,1561.9403627733136,1551.1449803123103,1558.3294623241745,467274
2022-02-06,1558.6902985698098,1563.4968253075037,1555.0850695266756,1559.297443740435,400829
2022-02-07,1560.5627052774714,1560.7221088693614,1556.044287972752,1560.5181336903245,812275
2022-02-08,1564.60850152456,1565.590862543739,1559.9363823937103,1562.5860520180483,425665
2022-02-09,1560.558438113284,1564.8457244795227,1559.451567812534,1563.975316696838,390967
2022-02-10,1563.6770483706737,1569.873573840495,1559.7613938431844,1566.2989552327672,681554
2022-02-11,1564.0668668362703,1571.266583235465,1559.1339994876014,1568.1914258159375,970298
2022-02-12,1568.58877247449,1572.2258768153638,1567.2800258776542,1571.047400698744,164417
2022-02-13,1571.8874543543795,1573.3389103623051,1568.2669882903213,1571.931264781298,836349
2022-02-14,1573.0582601232816,1578.7123814309616,1572.3534008602978,1574.671828763513,203845
2022-02-15,1579.4498061485262,1580.2130044247644,1573.3742812425787,1575.6169154409063,440254
2022-02-16,1579.7481803984856,1582.246732600184,1574.5673675890162,1577.6025717356006,939491
2022-02-17,1579.3096852604453,1581.3068184910053,1576.5096597110191,1578.2091458050284,768766
2022-02-18,1581.1655762812165,1581.5150753947573,1578.5116526175834,1580.3426221735026,905876
2022-02-19,1582.1876796435122,1582.9142674573745,1579.9497487978601,1581.7594210495672,387020
2022-02-20,1586.0031713186154,1589.5192448072964,1583.0518485620173,1584.2483454803735,733747
2022-02-21,1580.6630260178042,1589.006156729855,1580.2228051174268,1584.7756130971918,667339
2022-02-22,1590.10179315076,1590.2180568766807,1585.844428050662,1586.4763056945214,287870
2022-02-23,1589.1818673763394,1590.1831054159213,1584.4866542214436,1587.2183310211162,832162
2022-02-24,1585.609964908089,1591.198177889374,1582.2852625248725,1588.0385133821171,396887
2022-02-25,1593.7825512295115,1597.2618907269605,1588.1289638829946,1590.586573901965,187033
2022-02-26,1596.0154997711927,1600.1180277659648,1589.870795136296,1592.5950383626139,934467
2022-02-27,1593.2856185935166,1598.758518233497,1588.3089564572958,1595.5097288832433,301467
2022-02-28,1595.7459224951826,1598.1208838362952,1595.5111058754335,1597.7427308262957,423067
2022-03-01,1602.685224202079,1603.2897743085155,1595.7083096088677,1600.681376062653,520920
2022-03-02,1607.0482212971,1608.2758264354636,1598.0204858783209,1602.474617908189,541274
2022-03-03,1601.6786355359711,1606.0377664797509,1598.1118139829866,1604.2868045479047,366450
2022-03-04,1608.5104014187918,1612.2319112179237,1603.2558029648376,1605.0816617323585,872992
2022-03-05,1607.1966949784974,1608.336086410199,1601.7686922712123,1606.4111652039749,929720
2022-03-06,1611.3190764994138,1614.7171722737296,1607.0144040719301,1607.5922062879633,120798
2022-03-07,1615.1468657125877,1615.6399465202662,1606.254433597835,1610.2668583822242,149052
2022-03-08,1607.887937394762,1613.694050155506,1604.0518248242745,1610.984104374401,672449
2022-03-09,1616.1909585686738,1616.5575662126503,1608.4201287220633,1612.6804082726012,983377
2022-03-10,1620.2324719747462,1624.3859770604095,1615.0812357111151,1615.2748828605377,499040
2022-03-11,1613.3303918835072,1620.480490483954,1609.046497742879,1617.0493528516831,372406
2022-03-12,1617.297706022895,1620.5247250595467,1614.808103832044,1617.6702178069127,925514
2022-03-13,1617.3337252479905,1622.790048102092,1613.4940024021237,1619.7033607234762,275393
2022-03-14,1624.6400270117997,1629.4860830580471,1618.2344700944695,1621.224163785493,562157
2022-03-15,1621.1004222180652,1625.264818666006,1616.9380044303978,1623.5057211337005,257003
2022-03-16,1620.2500573484347,1626.8453873952772,1616.4895006299093,1624.2271800246726,452683
2022-03-17,1625.8117635735596,1629.23027433341,1624.3699839370338,1625.6817904087206,413564
2022-03-18,1627.0398070896083,1630.1304637272367,1623.6283344971218,1626.2415274740592,673589
2022-03-19,1631.3418884947853,1632.16600396216,1626.5018418687557,1627.70478924893,507132
2022-03-20,1628.5973779372089,1633.239630010964,1623.6933068493279,1628.56006140903,950797
2022-03-21,1630.0025722149867,1630.4562699057597,1628.0510069831091,1629.61649275896,228732
2022-03-22,1633.1333430460206,1634.2024170851641,1631.0085017337226,1632.1010250751951,940606
2022-03-23,1632.7289199355291,1639.3103465434194,1628.2776559207546,1634.39623500979,554766
2022-03-24,1638.9662480511372,1640.7490419865912,1633.8958372358459,1636.1054912120665,933399
2022-03-25,1638.6229307682079,1642.73599821871,1635.3001034533108,1639.0560674206513,677445
2022-03-26,1645.7404392165745,1649.9535830761329,1640.3810352799298,1641.459354089969,281835
2022-03-27,1639.943216628034,1644.3146811988229,1638.412003796887,1642.1863811467426,510772
2022-03-28,1645.5429945261467,1647.214588453238,1639.9874078921923,1644.0296234957557,880813
2022-03-29,1644.9438057133184,1647.2037577790236,1643.5829820465851,1646.2244585848618,459909
2022-03-30,1649.7997449007798,1650.1747430289445,1644.6941698407963,1648.5749100789271,398396
2022-03-31,1655.544532962401,1657.6543915823563,1648.5727963897198,1650.6438015418466,685119
2022-04-01,1653.4193218017497,1657.0322264279368,1653.1936453666005,1653.352011047794,643385
2022-04-02,1660.1949680067285,1662.906136714904,1652.7037202950614,1655.8516622353823,955328
2022-04-03,1656.0440189170129,1661.3591740911647,1651.5162496446324,1657.7365192069042,344225
2022-04-04,1664.63991473133,1664.8327012944621,1658.737369900251,1660.412823217801,506486
2022-04-05,1664.4631723082941,1667.047096434053,1658.189707874104,1661.935834922733,984661
2022-04-06,1660.290501293951,1663.4281760592323,1657.862905685616,1662.6038776361993,501738
